Frequency (Hz)	Amplitude (mm)	Phase Angle (deg)	Real (mm)	Imaginary (mm)
20140	1.8858e-005	46.89	1.2887e-005	1.3767e-005
20256	1.0773e-005	31.769	9.1587e-006	5.6719e-006
20372	6.7203e-006	25.881	6.0463e-006	2.9335e-006
20488	4.4112e-006	24.018	4.0293e-006	1.7955e-006
20604	2.938e-006	24.921	2.6644e-006	1.238e-006
20720	1.9239e-006	29.22	1.6791e-006	9.3917e-007
20836	1.21e-006	40.256	9.2341e-007	7.819e-007
20952	7.9134e-007	66.779	3.12e-007	7.2724e-007
21068	8.0916e-007	104.08	-1.969e-007	7.8484e-007
21184	1.156e-006	119.26	-5.6498e-007	1.0085e-006
21300	1.4483e-006	112.58	-5.5622e-007	1.3373e-006
21416	1.2448e-006	100.53	-2.2755e-007	1.2238e-006
21532	8.4414e-007	107.18	-2.4938e-007	8.0647e-007
21648	7.2176e-007	132.18	-4.8461e-007	5.3487e-007
21764	8.2905e-007	151.94	-7.3159e-007	3.9e-007
21880	9.9858e-007	162.03	-9.4985e-007	3.0815e-007
21996	1.1683e-006	167.25	-1.1395e-006	2.5782e-007
22112	1.3255e-006	170.24	-1.3063e-006	2.2465e-007
22228	1.4694e-006	172.11	-1.4555e-006	2.0167e-007
22344	1.6021e-006	173.36	-1.5914e-006	1.8522e-007
22460	1.7259e-006	174.24	-1.7172e-006	1.7323e-007
22576	1.8436e-006	174.88	-1.8362e-006	1.645e-007
22692	1.9597e-006	175.36	-1.9533e-006	1.5839e-007
22808	2.1033e-006	175.69	-2.0974e-006	1.5804e-007
22924	1.9974e-006	174.53	-1.9883e-006	1.9049e-007
23040	2.2658e-006	176.02	-2.2603e-006	1.573e-007
23156	2.245e-006	175.99	-2.2395e-006	1.5696e-007
23272	2.3828e-006	176.4	-2.3781e-006	1.4963e-007
23388	2.4851e-006	176.53	-2.4806e-006	1.5042e-007
23504	2.5821e-006	176.61	-2.5776e-006	1.5259e-007
23620	2.678e-006	176.67	-2.6735e-006	1.5575e-007
23736	2.7747e-006	176.7	-2.7701e-006	1.5986e-007
23852	2.8733e-006	176.71	-2.8686e-006	1.6492e-007
23968	2.9749e-006	176.71	-2.9699e-006	1.7097e-007
24084	3.0803e-006	176.69	-3.0751e-006	1.781e-007
24200	3.1906e-006	176.65	-3.1852e-006	1.8641e-007
24316	3.3071e-006	176.6	-3.3013e-006	1.9603e-007
24432	3.4309e-006	176.54	-3.4247e-006	2.0715e-007
24548	3.5638e-006	176.46	-3.557e-006	2.2001e-007
24664	3.7075e-006	176.37	-3.7001e-006	2.3493e-007
24780	3.8645e-006	176.26	-3.8563e-006	2.5231e-007
24896	4.0378e-006	176.13	-4.0286e-006	2.7272e-007
25012	4.2313e-006	175.98	-4.2209e-006	2.9694e-007
25128	4.4504e-006	175.8	-4.4384e-006	3.2609e-007
25244	4.7023e-006	175.59	-4.6884e-006	3.6182e-007
25360	4.9978e-006	175.33	-4.9812e-006	4.067e-007
25476	5.3528e-006	175.02	-5.3325e-006	4.6501e-007
25592	5.7929e-006	174.61	-5.7673e-006	5.4433e-007
25708	6.362e-006	174.05	-6.3277e-006	6.5948e-007
25824	7.1394e-006	173.21	-7.0893e-006	8.4377e-007
25940	8.3096e-006	171.82	-8.2251e-006	1.1819e-006
26056	1.0315e-005	169.	-1.0126e-005	1.9679e-006
26172	1.4694e-005	161.27	-1.3916e-005	4.7175e-006
26288	2.6649e-005	124.66	-1.5155e-005	2.192e-005
26404	1.3161e-005	52.181	8.0697e-006	1.0396e-005
26520	4.236e-006	51.038	2.6636e-006	3.2938e-006
26636	2.0483e-006	95.25	-1.8744e-007	2.0397e-006
26752	2.5633e-006	136.68	-1.8647e-006	1.7587e-006
26868	3.5634e-006	149.74	-3.078e-006	1.7955e-006
26984	4.5689e-006	153.82	-4.1002e-006	2.0157e-006
27100	5.604e-006	154.56	-5.0604e-006	2.4076e-006
27216	6.7422e-006	153.4	-6.0287e-006	3.0185e-006
27332	8.069e-006	150.66	-7.0339e-006	3.9539e-006
27448	9.6812e-006	146.08	-8.0337e-006	5.4024e-006
27564	1.166e-005	138.98	-8.7972e-006	7.6529e-006
27680	1.3934e-005	128.25	-8.6275e-006	1.0942e-005
27796	1.5899e-005	113.07	-6.2297e-006	1.4627e-005
27912	1.6297e-005	95.185	-1.4729e-006	1.6231e-005
28028	1.4875e-005	79.917	2.6044e-006	1.4646e-005
28144	1.3188e-005	70.412	4.4214e-006	1.2425e-005
28260	1.2318e-005	63.381	5.5192e-006	1.1013e-005
28376	1.1727e-005	54.062	6.8826e-006	9.4947e-006
28492	1.0604e-005	43.64	7.6741e-006	7.3181e-006
28608	9.1756e-006	35.164	7.5011e-006	5.2844e-006
28724	7.8538e-006	29.142	6.8596e-006	3.8246e-006
28840	6.7617e-006	24.933	6.1315e-006	2.8504e-006
28956	5.8823e-006	21.916	5.4571e-006	2.1956e-006
29072	5.1707e-006	19.685	4.8685e-006	1.7417e-006
29188	4.587e-006	17.987	4.3628e-006	1.4165e-006
29304	4.1008e-006	16.665	3.9286e-006	1.176e-006
29420	3.69e-006	15.616	3.5538e-006	9.9334e-007
29536	3.3383e-006	14.773	3.2279e-006	8.5123e-007
29652	3.0337e-006	14.086	2.9425e-006	7.3833e-007
29768	2.7671e-006	13.518	2.6905e-006	6.4684e-007
29884	2.5318e-006	13.039	2.4665e-006	5.7121e-007
30000	2.3223e-006	12.618	2.2662e-006	5.0732e-007
